urun_adi,urun_turu,son_fiyat,ortalama_artis_hizi,tahmin_2025
Y.TERE,SEBZE,5.330065359477124,55.82815023466493,7.11350522875817
YAPRAK  SALAMURA,SEBZE,40.1505376344086,80.63692315939926,53.58490752688172
YAPRAK TAZE,SEBZE,48.058394160583944,98.85582272573156,64.13873284671533
YERELMASI,SEBZE,20.71315789473684,91.00451716797352,27.64378052631579
ZENCEFİL,İTHAL,136.6846405228758,65.06046670383262,182.41932124183006
ÜZÜM  BEYAZ,MEYVE,56.83029197080292,96.06974808508663,75.84570766423357
ÜZÜM  RED GLOBE,MEYVE,62.529535864978904,126.73086572339011,83.45191856540085
ÜZÜM  SULTANİYE,MEYVE,35.81294964028777,77.14075997737699,47.79596258992806
ÜZÜM  SİYAH,MEYVE,52.2956204379562,90.82225611106723,69.79373503649634
ŞEFTALI,MEYVE,44.164556962025316,66.26788165216928,58.94201772151899
